,Country,CDDP_Obs,CDDP_1.5,CDDP_2.0,CDDP_2.5,CDDP_3.0
0,Chad,7742.1978,16150.92811327416,22521.48882522297,28098.261719566064,32617.363176214236
0,Sierra Leone,31777.623,102411.1763869074,156632.89965648,210149.47238488507,256260.37747219205
0,Guinea,11098.379,27234.378558249628,36121.51576285444,43893.92527136497,50007.829374630186
0,Central African Rep.,1607.97,4419.467741372283,6503.275587498653,8614.634766667541,10400.090265816962
0,Nigeria,93535.94,224510.09669979813,340457.4717148181,460548.8476670057,575163.1133882168
0,Benin,28347.842,64787.724614929284,93203.47115765946,118905.99837845056,139918.25690983696
0,Gabon,32.524067,244.04102115714804,504.9934855928491,890.7779324780397,1299.6035360309636
0,Ghana,47334.62,101704.00074289883,137116.32113695407,169513.13309830328,195018.15052860702
0,C̫te d'Ivoire,15938.829,38042.246233952195,50105.4017898674,60725.10464418921,68650.21026242408
0,Algeria,525.20935,804.5732807499427,939.1210716047061,1028.9221149221953,1074.6761613399258
0,Mauritania,3828.1067,6712.952676677993,8635.142699274773,10096.134305569918,11220.90046256293
0,Senegal,58287.703,120928.85617320251,162115.67297337568,194046.15159908496,218893.98285465955
0,Guinea-Bissau,24915.816,46476.56706518778,60957.31462972001,73384.05998807622,83344.47270894963
0,Cameroon,10697.948,23372.63179027096,33062.59507377181,43179.0874812527,52538.44512636289
0,Eq. Guinea,2606.85,9278.264051259763,15599.862836724673,23680.863364917455,31941.013355595456
0,Gambia,84163.71,160723.49010592114,207713.38606747953,241403.91749120844,265095.85714221915
0,Togo,77346.375,160780.04532201833,217174.5788199371,267271.02955716744,305455.46008422214
0,Burkina Faso,55123.508,116462.64803572817,161252.97845860306,199585.55955804,232324.43767312454
0,Congo,86.03237,459.5861858325988,847.7144645557712,1315.2076029849047,1769.231152658357
0,Libya,287.74774,511.17769822307514,640.5296986817908,747.6705275536276,821.1609021928592
0,Liberia,3753.1873,21538.21719754023,38875.665325859605,58098.424490093355,75700.25189267063
0,Morocco,783.0895,1502.2388574813635,1779.5130678701069,1959.3434452246715,2089.9494448679116
0,Mali,19312.809,41467.583743670024,58096.23500302746,73179.67147455139,86294.1160024078
0,Niger,15937.259,35640.58134526578,53403.47430076821,69801.20367696416,83991.44782213155
0,W. Sahara,407.44324,627.1251865334729,694.201798165817,721.7060379172831,726.48370444283
